id,java_source_owner,rust_source_owner,public_contract,semantic_status,production_gate,evidence
CORE-001,sa-token-core/src/main/java/cn/dev33/satoken/config/SaTokenConfig.java,sa-token-core/src/config.rs,configuration defaults and builder,aligned,cargo test -p sa-token-integration-tests --test java_golden_contract,tests/java_golden/sa_token_1_45_0.json
CORE-002,sa-token-core/src/main/java/cn/dev33/satoken/SaManager.java,sa-token-core/src/runtime.rs,explicit runtime ownership and optional global compatibility,improved,cargo test -p sa-token-core runtime::tests,sa-token-core/src/runtime.rs
CORE-003,sa-token-core/src/main/java/cn/dev33/satoken/stp/StpLogic.java,sa-token-core/src/manager.rs,login logout kickout renew and account lifecycle,partial,cargo test -p sa-token-core manager::tests,sa-token-core/src/manager.rs
CORE-004,sa-token-core/src/main/java/cn/dev33/satoken/stp/StpUtil.java,sa-token-core/src/util.rs,legacy static facade,compatible,cargo test -p sa-token-integration-tests --test runtime_explicit,sa-token-integration-tests/tests/runtime_explicit.rs
CORE-005,sa-token-core/src/main/java/cn/dev33/satoken/strategy/SaStrategy.java,sa-token-core/src/token/generator.rs,uuid simple uuid random and tik generation,aligned,cargo test -p sa-token-integration-tests --test java_golden_contract,sa-token-integration-tests/tests/java_golden_contract.rs
CORE-006,sa-token-core/src/main/java/cn/dev33/satoken/session/SaSession.java,sa-token-core/src/session/mod.rs,session attributes and terminal index,partial,cargo test -p sa-token-core session::tests,sa-token-core/src/session/mod.rs
CORE-007,sa-token-core/src/main/java/cn/dev33/satoken/listener/SaTokenEventCenter.java,sa-token-core/src/event/mod.rs,event listener registration and dispatch,aligned,cargo test -p sa-token-core event::tests,sa-token-core/src/event/mod.rs
CORE-008,sa-token-core/src/main/java/cn/dev33/satoken/router/SaRouter.java,sa-token-core/src/router.rs,path matching and auth flow,partial,cargo test -p sa-token-integration-tests --test router_path_auth,sa-token-integration-tests/tests/router_path_auth.rs
CORE-009,sa-token-core/src/main/java/cn/dev33/satoken/dao/SaTokenDao.java,sa-token-adapter/src/storage.rs,storage capability and ttl contract,improved,cargo test -p sa-token-storage-memory,sa-token-adapter/src/storage.rs
STORE-001,sa-token-core/src/main/java/cn/dev33/satoken/dao/SaTokenDaoDefaultImpl.java,sa-token-storage-memory/src/lib.rs,atomic in-memory set-if-absent increment ttl and scan,improved,cargo test -p sa-token-storage-memory,sa-token-storage-memory/src/lib.rs
STORE-002,sa-token-plugin/sa-token-redis-template/src/main/java/cn/dev33/satoken/dao/SaTokenDaoForRedisTemplate.java,sa-token-storage-redis/src/lib.rs,redis ttl atomic mutation and scan,improved,SA_TOKEN_TEST_REDIS_URL=redis://127.0.0.1:6379 cargo test -p sa-token-storage-redis --test redis_contract,sa-token-storage-redis/tests/redis_contract.rs
SEC-001,sa-token-plugin/sa-token-sign/src/main/java/cn/dev33/satoken/sign/template/SaSignTemplate.java,sa-token-core/src/api_security.rs,signature timestamp and single-use nonce,improved,cargo test -p sa-token-core api_security::tests,sa-token-core/src/api_security.rs
SEC-002,sa-token-plugin/sa-token-apikey/src/main/java/cn/dev33/satoken/apikey/template/SaApiKeyTemplate.java,sa-token-core/src/api_security.rs,api key create validate AND OR scope extra data and reverse index,aligned,cargo test -p sa-token-core api_security::tests,sa-token-core/src/api_security.rs
SEC-003,sa-token-plugin/sa-token-jwt/src/main/java/cn/dev33/satoken/jwt/SaJwtTemplate.java,sa-token-core/src/token/jwt.rs,jwt create validate refresh and claims,partial,cargo test -p sa-token-plugin-jwt,sa_token_plugin_jwt/src/lib.rs
SEC-004,sa-token-plugin/sa-token-oauth2/src/main/java/cn/dev33/satoken/oauth2/SaOAuth2Manager.java,sa-token-core/src/oauth2.rs,oauth2 client code access and refresh token,partial,cargo test -p sa-token-integration-tests --test oauth2_flow,sa-token-integration-tests/tests/oauth2_flow.rs
SEC-005,sa-token-plugin/sa-token-sso/src/main/java/cn/dev33/satoken/sso/SaSsoManager.java,sa-token-core/src/sso.rs,sso ticket server client and origin policy,partial,cargo test -p sa-token-plugin-sso,sa_token_plugin_sso/src/lib.rs
SEC-006,sa-token-core/src/main/java/cn/dev33/satoken/plugin/SaTokenPluginHolder.java,sa-token-core/src/plugin.rs,install destroy duplicate rejection and destroy rollback,improved,cargo test -p sa-token-core runtime::tests,sa-token-core/src/runtime.rs
SEC-007,sa-token-core/src/main/java/cn/dev33/satoken/secure/SaSecureUtil.java,sa-token-core/src/constant_time.rs,secret comparison,vetted,cargo test -p sa-token-core constant_time::tests,sa-token-core/src/constant_time.rs
SEC-008,sa-token-plugin/sa-token-temp-jwt/src/main/java/cn/dev33/satoken/temp/jwt/SaTempTemplateForJwt.java,sa-token-core/src/temp_jwt.rs,stateless temporary jwt value expiry and disabled revocation operations,aligned,cargo test -p sa-token-core temp_jwt::tests,sa-token-core/src/temp_jwt.rs
SEC-009,sa-token-core/src/main/java/cn/dev33/satoken/secure/totp/SaTotpTemplate.java,sa-token-core/src/totp.rs,rfc6238 totp sha1 sha256 sha512 window and replay counter,improved,cargo test -p sa-token-core totp::tests,sa-token-core/src/totp.rs
SEC-010,sa-token-core/src/main/java/cn/dev33/satoken/secure/SaBase32Util.java,sa-token-core/src/base32.rs,rfc4648 base32 upper lower and padding,improved,cargo test -p sa-token-core base32::tests,sa-token-core/src/base32.rs
HTTP-001,sa-token-core/src/main/java/cn/dev33/satoken/context/SaTokenContext.java,sa-token-adapter/src/context.rs,request response context and cookie policies,improved,cargo test -p sa-token-adapter,sa-token-adapter/src/context.rs
HTTP-002,sa-token-starter/sa-token-spring-boot3-starter,sa-token-plugin-axum/src/shared/state.rs,axum runtime binding,implemented,cargo check -p sa-token-plugin-axum --no-default-features --features axum-08 memory,sa-token-plugin-axum/src/shared/state.rs
HTTP-003,sa-token-starter/sa-token-spring-boot3-starter,sa-token-plugin-actix-web-v4/src/layer.rs,actix-web v4 runtime binding,implemented,cargo check -p sa-token-plugin-actix-web --no-default-features --features v4 memory,sa-token-plugin-actix-web-v4/src/layer.rs
HTTP-004,sa-token-starter/sa-token-spring-boot3-starter,sa-token-plugin-rocket-v05/src/layer.rs,rocket v0.5 runtime binding,implemented,cargo check -p sa-token-plugin-rocket --no-default-features --features v05 memory,sa-token-plugin-rocket-v05/src/layer.rs
HTTP-005,sa-token-starter/sa-token-spring-boot3-starter,sa-token-plugin-warp/src/layer.rs,warp v0.3 runtime binding,implemented,cargo check -p sa-token-plugin-warp --no-default-features --features warp-03 memory,sa-token-plugin-warp/src/layer.rs
HTTP-006,sa-token-starter/sa-token-spring-boot3-starter,sa-token-plugin-poem/src/layer.rs,poem v0.3 runtime binding,implemented,cargo check -p sa-token-plugin-poem --no-default-features --features poem-03 memory,sa-token-plugin-poem/src/layer.rs
